,date,flight no,booster version,payload mass,orbit,launch site,landing type,outcome,flights,gridfins,reused,legs,landing pad,block,reused count,serial,longitude,latitude,cost per launch,customers,manufacterers
98,2020-08-07T05:12:00.000Z,99,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
99,2020-08-18T14:31:00.000Z,100,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
100,2020-08-30T23:18:00.000Z,101,Falcon 9,1600.0,SSO,Cape Canaveral Space Force Station Space Launch Complex 40,RTLS,True,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.577366,28.5618571,50000000,['CONAE'],[]
101,2020-09-03T12:46:00.000Z,102,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
102,2020-10-06T11:29:00.000Z,103,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
103,2020-10-18T12:25:00.000Z,104,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
104,2020-10-24T15:31:00.000Z,105,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
105,2020-11-05T23:24:00.000Z,106,Falcon 9,3681.0,MEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,8,B1062,-80.577366,28.5618571,50000000,['United States Space Force'],['Lockheed Martin']
106,2020-11-16T00:27:00.000Z,107,Falcon 9,,ISS,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.6039558,28.6080585,50000000,['NASA (CCtCap)'],['SpaceX']
107,2020-11-21T17:17:00.000Z,108,Falcon 9,1440.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,RTLS,True,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,6,B1063,-120.610829,34.632093,50000000,['NASA'],[]
108,2020-11-25T02:13:00.000Z,109,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
109,2020-12-06T16:17:00.000Z,110,Falcon 9,2972.0,ISS,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058,-80.6039558,28.6080585,50000000,['NASA (CRS)'],['SpaceX']
110,2020-12-13T17:30:00.000Z,111,Falcon 9,7000.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.577366,28.5618571,50000000,['SiriusXM'],['SSL']
111,2020-12-19T14:00:00.000Z,112,Falcon 9,,,Kennedy Space Center Historic Launch Complex 39A,RTLS,True,5,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059,-80.6039558,28.6080585,50000000,['National Reconnaissance Office'],[]
112,2021-01-08T02:15:00.000Z,113,Falcon 9,3500.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,50000000,['Turksat'],['Airbus Defence and Space']
113,2021-01-20T13:02:00.000Z,114,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,8,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
114,2021-01-24T15:00:00.000Z,115,Falcon 9,,SSO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058,-80.577366,28.5618571,50000000,[],[]
115,2021-02-04T06:19:00.000Z,116,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
116,2021-02-16T03:59:00.000Z,117,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,False,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
117,2021-03-04T08:24:00.000Z,118,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,8,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
118,2021-03-11T08:13:00.000Z,119,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
119,2021-03-14T10:01:00.000Z,120,Falcon 9,15600.0,VLEO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,9,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051,-80.6039558,28.6080585,50000000,['SpaceX'],['SpaceX']
120,2021-03-24T08:28:00.000Z,121,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
121,2021-04-07T16:34:00.000Z,122,Falcon 9,15600.0,VLEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058,-80.577366,28.5618571,50000000,['SpaceX'],['SpaceX']
122,2021-04-23T09:49:00.000Z,123,Falcon 9,,ISS,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1061,-80.6039558,28.6080585,50000000,['NASA (CCtCap)'],['SpaceX']
